,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
291,1180000,7/2/14,1,3,2128,1875,2,Very Good,Very Good,1900,2010,DC
292,600000,2/9/15,1,3,1784,2000,2,Average,Above Average,1924,0,DC
293,750000,9/3/14,3,5,2624,2000,2,Average,Above Average,1924,2010,DC
294,1011100,5/5/15,4,5,2411,1633,3,Average,Good Quality,1911,0,DC
297,615000,12/16/14,1,3,1360,1113,2,Good,Above Average,1900,1977,DC
299,567000,9/18/14,2.5,3,1412,751,2,Average,Good Quality,1900,0,DC
300,760000,4/29/15,3.5,4,1244,1502,2,Very Good,Average,1915,2015,DC
302,188430,12/19/14,1.5,2,1350,1151,2,Average,Above Average,1978,0,DC
303,634000,5/21/15,2.5,2,1292,1151,2,Very Good,Above Average,1914,2015,DC
304,1080000,2/24/15,4,5,2190,2271,3,Average,Good Quality,1880,2011,DC
305,1325000,9/3/14,3.5,4,1818,2032,2,Good,Good Quality,1890,2010,DC
306,1950000,4/21/15,3.5,4,3687,4063,3,Good,Excellent,1860,1988,DC
309,795000,5/22/14,2.5,3,1428,1182,2,Good,Good Quality,1880,2008,DC
310,800000,7/3/14,1.5,3,1486,1065,2,Good,Good Quality,1890,2002,DC
311,808000,5/8/15,3.5,2,1414,1065,2,Good,Average,1890,2008,DC
312,725000,9/30/14,3,3,1162,528,3,Very Good,Very Good,2011,0,DC
314,715000,12/19/14,2,4,1926,1485,2,Good,Average,1905,2013,DC
315,670000,5/22/14,2.5,4,1716,1603,2,Very Good,Average,1905,2003,DC
316,649997,3/4/15,2.5,2,912,900,2,Very Good,Above Average,1907,2014,DC
317,875000,1/27/15,3.5,4,1664,1224,3,Good,Good Quality,1907,2002,DC
318,1735000,5/22/15,3.5,5,2240,2102,2,Very Good,Very Good,2003,0,DC
319,535000,7/23/14,1.5,3,1064,709,2,Good,Average,1890,2005,DC
320,848500,5/20/15,2.5,4,1040,1077,2,Good,Above Average,1988,2004,DC
322,609000,11/5/14,1,2,936,791,2,Good,Average,1890,2000,DC
323,558130,9/11/14,1,3,1404,1024,2,Average,Good Quality,1908,1966,DC
325,500000,7/22/14,1,2,832,1075,2,Average,Average,1890,2014,DC
327,683000,4/1/15,2.5,3,1072,1520,2,Good,Above Average,1925,0,DC
328,745000,4/27/15,2.5,4,1056,1520,2,Very Good,Average,1925,2013,DC
329,1115000,1/5/15,3,3,1410,1431,2,Good,Above Average,1894,2009,DC
330,605000,10/8/14,1.5,3,1264,1391,2,Good,Above Average,1890,2009,DC
331,1164000,1/12/15,3.5,3,1372,986,2,Good,Very Good,1905,2006,DC
332,1200000,10/29/14,2.5,2,1302,1069,2,Very Good,Good Quality,1890,2010,DC
333,779000,9/18/14,2,2,1254,1125,2,Good,Average,1890,2000,DC
335,985000,4/20/15,2.5,2,2124,1796,2,Very Good,Above Average,1890,2010,DC
336,850000,6/12/14,2.5,3,2124,1376,2,Good,Good Quality,1890,2010,DC
337,720000,8/15/14,2,2,1729,1250,3,Good,Average,1890,1998,DC
338,889250,1/2/15,4,5,1695,2048,2,Good,Above Average,1932,2009,DC
339,257000,1/12/15,2,3,1748,1339,3,Poor,Above Average,1900,0,DC
340,770000,5/6/14,2.5,3,1712,1417,2,Very Good,Average,1906,2014,DC
341,725000,8/25/14,1,2,950,1105,2,Good,Average,1908,2003,DC
343,711000,2/27/15,1.5,2,1284,1020,2,Good,Average,1890,1983,DC
344,495000,8/27/14,2,4,1090,514,2,Fair,Above Average,1900,0,DC
345,616025,10/20/14,3,3,896,737,2,Very Good,Above Average,1900,2011,DC
347,114328,1/23/15,1,2,1049,1052,2,Good,Average,1900,1987,DC
348,716000,7/2/14,2.5,3,936,720,2,Very Good,Above Average,1900,2014,DC
349,545000,5/14/15,1,3,1308,1106,2,Average,Above Average,1906,0,DC
351,440000,6/24/14,1.5,3,1103,933,2,Good,Average,1941,2014,DC
