,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
7409,720000,10/1/14,2,2,1715.277034,537,2,Missing,Missing,1998,1998,DC
7410,705000,7/9/14,2,2,1715.277034,393,2,Missing,Missing,1925,2000,DC
7411,438200,10/1/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7412,775000,6/6/14,2,2,1715.277034,719,2,Missing,Missing,1875,1979,DC
7413,635500,6/16/14,2.5,2,1715.277034,692,2,Missing,Missing,1875,1979,DC
7417,659000,12/9/14,2,2,1715.277034,184,2,Missing,Missing,2005,2005,DC
7418,540000,3/16/15,1.5,1,1715.277034,158,2,Missing,Missing,2005,2005,DC
7419,870000,4/1/15,2,2,1715.277034,509,2,Missing,Missing,2008,0,DC
7420,800000,3/23/15,2.5,2,1715.277034,512,2,Missing,Missing,2010,0,DC
7421,1200000,4/14/15,2.5,2,1715.277034,722,2,Missing,Missing,1928,2003,DC
7422,600000,4/15/15,2,2,1715.277034,444,2,Missing,Missing,2002,2002,DC
7423,490000,8/14/14,1,1,1715.277034,168,2,Missing,Missing,1920,2012,DC
7424,455000,7/14/14,1,2,1715.277034,169,2,Missing,Missing,1915,1979,DC
7425,444000,11/24/14,1.5,2,1715.277034,182,2,Missing,Missing,1915,1979,DC
7426,364500,10/2/14,1,1,1715.277034,91,2,Missing,Missing,1915,1979,DC
7427,369000,2/25/15,1,1,1715.277034,106,2,Missing,Missing,1915,1979,DC
7429,755000,3/18/15,2.5,3,1715.277034,723,2,Missing,Missing,1875,1979,DC
7430,781000,3/6/15,2.5,2,1715.277034,547,2,Missing,Missing,1998,1998,DC
7431,838000,11/13/14,2,2,1715.277034,152,2,Missing,Missing,2007,0,DC
7432,640000,5/13/14,2,2,1715.277034,623,2,Missing,Missing,2005,2005,DC
7433,599000,4/22/15,2,1,1715.277034,322,2,Missing,Missing,2007,2007,DC
7434,407525,11/25/14,1,1,1715.277034,225,2,Missing,Missing,2007,2007,DC
7435,498000,5/20/15,1.5,1,1715.277034,287,2,Missing,Missing,2007,2007,DC
7436,374000,7/1/14,1,1,1715.277034,201,2,Missing,Missing,2007,2007,DC
7437,516000,6/18/14,1.5,1,1715.277034,369,2,Missing,Missing,2008,0,DC
7438,695000,8/27/14,2.5,2,1715.277034,693,2,Missing,Missing,2006,2010,DC
7439,345000,2/27/15,1.5,1,1715.277034,180,2,Missing,Missing,2003,2003,DC
7440,370500,8/14/14,1,1,1715.277034,164,2,Missing,Missing,2003,2003,DC
7444,415000,12/12/14,1,1,1715.277034,73,2,Missing,Missing,2005,0,DC
7445,299000,9/18/14,1,0,1715.277034,94,2,Missing,Missing,2003,0,DC
7446,690000,9/9/14,2,2,1715.277034,191,2,Missing,Missing,2003,0,DC
7447,569000,10/31/14,1,1,1715.277034,157,2,Missing,Missing,2003,0,DC
7448,589000,11/10/14,1,1,1715.277034,157,2,Missing,Missing,2003,0,DC
7449,340000,7/22/14,1,0,1715.277034,94,2,Missing,Missing,2003,0,DC
7450,590000,11/5/14,1,1,1715.277034,92,2,Missing,Missing,2007,0,DC
7451,803500,11/4/14,2,2,1715.277034,152,2,Missing,Missing,2007,0,DC
7452,610000,5/12/14,1.5,2,1715.277034,110,2,Missing,Missing,2007,0,DC
7453,851500,5/15/15,2,2,1715.277034,152,2,Missing,Missing,2007,0,DC
7454,899000,8/18/14,2,2,1715.277034,152,2,Missing,Missing,2007,0,DC
7455,595000,5/22/15,1,1,1715.277034,92,2,Missing,Missing,2007,0,DC
7456,675000,7/3/14,2,1,1715.277034,116,2,Missing,Missing,2007,0,DC
7457,429900,11/13/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7458,190000,10/28/14,1,1,1715.277034,528,2,Missing,Missing,1910,1991,DC
7459,425000,6/6/14,1,1,1715.277034,79,2,Missing,Missing,2005,0,DC
7460,625000,4/20/15,1,1,1715.277034,92,2,Missing,Missing,2007,0,DC
7463,590000,4/9/15,1.5,2,1715.277034,805,2,Missing,Missing,1915,1990,DC
7464,561900,11/21/14,2,2,1715.277034,446,2,Missing,Missing,1895,2002,DC
7465,560000,12/29/14,1,2,1715.277034,488,2,Missing,Missing,1895,2004,DC
7466,920000,6/24/14,2.5,2,1715.277034,501,2,Missing,Missing,1900,2005,DC
7467,736000,3/10/15,2,2,1715.277034,870,2,Missing,Missing,1900,0,DC
7468,818000,3/11/15,2.5,2,1715.277034,1912,2,Missing,Missing,1900,0,DC
7469,485000,5/8/15,1,1,1715.277034,142,2,Missing,Missing,1920,2012,DC
7470,480000,7/9/14,1,1,1715.277034,123,2,Missing,Missing,1920,2012,DC
7471,419000,6/3/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7472,440000,7/9/14,1,1,1715.277034,652,2,Missing,Missing,1921,2005,DC
7474,721000,10/16/14,2,2,1715.277034,184,2,Missing,Missing,2005,2005,DC
7475,650000,10/27/14,2,2,1715.277034,184,2,Missing,Missing,2005,2005,DC
7476,704000,12/19/14,2,2,1715.277034,184,2,Missing,Missing,2005,2005,DC
7477,385000,5/19/15,2,2,1715.277034,234,2,Missing,Missing,1963,2006,DC
7478,425000,1/29/15,1,1,1715.277034,101,2,Missing,Missing,2006,0,DC
7480,565000,4/28/15,1,2,1715.277034,113,2,Missing,Missing,2006,0,DC
7481,410000,3/16/15,1.5,1,1715.277034,187,2,Missing,Missing,2003,2003,DC
7482,365000,8/13/14,1,1,1715.277034,165,2,Missing,Missing,2003,2003,DC
7483,429000,7/30/14,1,1,1715.277034,445,2,Missing,Missing,1981,1981,DC
7484,390000,5/15/15,1,1,1715.277034,85,2,Missing,Missing,1915,1979,DC
7486,339000,5/21/15,1,0,1715.277034,188,2,Missing,Missing,1915,1983,DC
7487,380000,2/24/15,1,1,1715.277034,204,2,Missing,Missing,1924,1979,DC
7488,700000,3/23/15,2.5,4,1715.277034,2064,2,Missing,Missing,1977,1977,DC
7489,824000,7/15/14,2,2,1715.277034,325,2,Missing,Missing,2007,2007,DC
7490,377500,6/9/14,1,1,1715.277034,235,2,Missing,Missing,2000,2000,DC
7491,500000,10/22/14,2,1,1715.277034,391,2,Missing,Missing,2000,2000,DC
7492,517000,5/30/14,2,2,1715.277034,348,2,Missing,Missing,2000,2000,DC
7493,360000,12/9/14,1,1,1715.277034,2350,2,Missing,Missing,2000,2000,DC
7494,350000,10/3/14,1,1,1715.277034,235,2,Missing,Missing,2000,2000,DC
7495,395000,9/23/14,1,1,1715.277034,158,2,Missing,Missing,2003,2003,DC
7496,375705,10/14/14,1.5,1,1715.277034,190,2,Missing,Missing,2003,2003,DC
7497,399999,4/22/15,1.5,1,1715.277034,190,2,Missing,Missing,2003,2003,DC
7498,435500,7/18/14,1,1,1715.277034,138,2,Missing,Missing,2005,2005,DC
7499,430000,7/23/14,1,1,1715.277034,78,2,Missing,Missing,2005,0,DC
7500,638000,3/4/15,2,2,1715.277034,106,2,Missing,Missing,2005,0,DC
7501,541000,9/10/14,2,2,1715.277034,98,2,Missing,Missing,2005,0,DC
7502,439000,7/7/14,1,1,1715.277034,79,2,Missing,Missing,2005,0,DC
7503,540000,11/21/14,2,2,1715.277034,98,2,Missing,Missing,2005,0,DC
7504,405000,6/4/14,1,1,1715.277034,203,2,Missing,Missing,1924,1979,DC
7505,520200,7/3/14,2,2,1715.277034,504,2,Missing,Missing,1928,1995,DC
7506,515000,7/31/14,2,2,1715.277034,504,2,Missing,Missing,1928,1985,DC
7507,617500,4/8/15,2,1,1715.277034,336,2,Missing,Missing,1905,2001,DC
7509,463600,5/8/14,1,2,1715.277034,318,2,Missing,Missing,1915,0,DC
7510,516000,5/5/14,1,1,1715.277034,335,2,Missing,Missing,1915,0,DC
7511,1375000,11/10/14,3.5,4,1715.277034,1064,2,Missing,Missing,2013,0,DC
7512,311000,9/2/14,1,0,1715.277034,76,2,Missing,Missing,2006,2006,DC
7515,435000,5/27/14,1,1,1715.277034,120,2,Missing,Missing,2006,2006,DC
7516,790000,5/1/14,2,2,1715.277034,391,2,Missing,Missing,1920,2003,DC
7517,370000,3/3/15,1,1,1715.277034,146,2,Missing,Missing,2004,2004,DC
7518,399000,10/10/14,1,1,1715.277034,135,2,Missing,Missing,2004,2004,DC
7519,520125,3/30/15,2,2,1715.277034,222,2,Missing,Missing,1900,1991,DC
7521,474000,1/23/15,1,1,1715.277034,78,2,Missing,Missing,2005,0,DC
7522,439000,5/14/14,1,1,1715.277034,332,2,Missing,Missing,1908,1980,DC
7523,500000,6/20/14,1.5,2,1715.277034,285,2,Missing,Missing,1941,2005,DC
7524,500000,12/30/14,1.5,2,1715.277034,285,2,Missing,Missing,1941,2005,DC
7525,460000,5/22/15,1,1,1715.277034,1149,2,Missing,Missing,1976,2005,DC
7527,840000,7/18/14,2,1,1715.277034,263,2,Missing,Missing,2006,2006,DC
7528,1200000,5/1/15,2.5,2,1715.277034,304,2,Missing,Missing,2006,2006,DC
7529,439900,11/21/14,1,1,1715.277034,141,2,Missing,Missing,2004,2004,DC
7531,399000,1/21/15,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7533,451000,7/17/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7534,440000,10/20/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7535,399900,9/8/14,1,1,1715.277034,129,2,Missing,Missing,2004,2004,DC
7536,285000,12/16/14,1,0,1715.277034,74,2,Missing,Missing,2004,2004,DC
7538,420000,4/7/15,1,1,1715.277034,228,2,Missing,Missing,1875,2011,DC
7539,550000,10/31/14,2,2,1715.277034,226,2,Missing,Missing,1900,1991,DC
7540,480000,7/17/14,1,2,1715.277034,433,2,Missing,Missing,1938,1990,DC
7541,730500,5/28/15,2,2,1715.277034,184,2,Missing,Missing,2005,2005,DC
7542,1500000,7/2/14,2.5,2,1715.277034,289,2,Missing,Missing,2005,2005,DC
7543,485000,7/14/14,2,2,1715.277034,352,2,Missing,Missing,2004,2004,DC
7544,629000,8/6/14,2,2,1715.277034,386,2,Missing,Missing,2004,2004,DC
7545,725000,5/9/14,2,2,1715.277034,437,2,Missing,Missing,2013,0,DC
7546,799922,5/13/14,2,2,1715.277034,491,2,Missing,Missing,2013,0,DC
7547,449360,10/24/14,1,1,1715.277034,113,2,Missing,Missing,2006,0,DC
7548,36000,5/12/14,2,2,1715.277034,113,2,Missing,Missing,2006,0,DC
7549,450000,9/3/14,1,1,1715.277034,101,2,Missing,Missing,2006,0,DC
7550,280000,12/29/14,1,0,1715.277034,61,2,Missing,Missing,2006,0,DC
7551,469000,5/22/15,1,1,1715.277034,101,2,Missing,Missing,2006,0,DC
7552,998000,4/15/15,2,2,1715.277034,357,2,Missing,Missing,2006,2006,DC
7553,1500000,9/16/14,2.5,2,1715.277034,426,2,Missing,Missing,2006,2006,DC
7554,699000,4/24/15,2,2,1715.277034,195,2,Missing,Missing,2013,0,DC
7555,341700,1/23/15,1,1,1715.277034,204,2,Missing,Missing,1925,1982,DC
7557,205000,7/8/14,1,0,1715.277034,150,2,Missing,Missing,1940,1983,DC
7559,754000,8/29/14,2,2,1715.277034,353,2,Missing,Missing,1875,2011,DC
7560,708000,5/7/14,2.5,2,1715.277034,358,2,Missing,Missing,2003,2003,DC
7561,639000,12/8/14,2.5,2,1715.277034,358,2,Missing,Missing,2003,2003,DC
7562,568000,6/18/14,2.5,2,1715.277034,834,2,Missing,Missing,1900,1990,DC
7564,569000,7/30/14,2,2,1715.277034,423,2,Missing,Missing,2000,2000,DC
7566,377000,3/10/15,1,1,1715.277034,235,2,Missing,Missing,2000,2000,DC
7567,518000,8/4/14,2,1,1715.277034,391,2,Missing,Missing,2000,2000,DC
7568,445000,7/1/14,1,1,1715.277034,235,2,Missing,Missing,2000,2000,DC
7569,460000,10/15/14,1,1,1715.277034,138,2,Missing,Missing,2005,2005,DC
7572,325000,10/17/14,1,1,1715.277034,135,2,Missing,Missing,2007,0,DC
7573,554900,12/30/14,2,2,1715.277034,103,2,Missing,Missing,2005,0,DC
7574,411500,10/7/14,1,1,1715.277034,240,2,Missing,Missing,1922,2010,DC
7576,595000,6/17/14,2,2,1715.277034,336,2,Missing,Missing,1905,0,DC
7577,1264000,4/3/15,2.5,2,1715.277034,520,2,Missing,Missing,1905,0,DC
7578,929000,11/6/14,2,2,1715.277034,83,2,Missing,Missing,1905,2013,DC
7579,306000,4/30/15,1,1,1715.277034,102,2,Missing,Missing,1964,0,DC
7580,235000,12/30/14,1,1,1715.277034,102,2,Missing,Missing,1964,0,DC
7581,521500,4/17/15,1,1,1715.277034,262,2,Missing,Missing,1949,2012,DC
7582,434000,2/26/15,1,1,1715.277034,203,2,Missing,Missing,1949,2012,DC
7584,499555,4/17/15,1.5,1,1715.277034,415,2,Missing,Missing,2014,0,DC
7585,580000,9/17/14,1.5,1,1715.277034,395,2,Missing,Missing,1900,2014,DC
7586,1050000,6/9/14,2.5,2,1715.277034,639,2,Missing,Missing,1900,2014,DC
7587,570000,5/30/14,2,2,1715.277034,426,2,Missing,Missing,1900,2014,DC
7588,670000,6/3/14,2,2,1715.277034,426,2,Missing,Missing,1900,2014,DC
7589,675000,6/24/14,2,2,1715.277034,426,2,Missing,Missing,1900,2014,DC
7590,1007000,5/9/14,3,3,1715.277034,639,2,Missing,Missing,1900,2014,DC
7591,305000,9/17/14,1,0,1715.277034,88,2,Missing,Missing,2006,2006,DC
7592,588000,5/7/14,1,2,1715.277034,153,2,Missing,Missing,2006,2006,DC
7593,401900,6/6/14,1,1,1715.277034,125,2,Missing,Missing,2006,2006,DC
7594,456000,10/23/14,1,1,1715.277034,120,2,Missing,Missing,2006,2006,DC
7595,485000,11/10/14,1,1,1715.277034,131,2,Missing,Missing,2006,2006,DC
7596,480000,4/15/15,1,1,1715.277034,148,2,Missing,Missing,2004,2004,DC
7598,561500,7/9/14,2,2,1715.277034,192,2,Missing,Missing,2004,2004,DC
7599,422000,10/30/14,1,1,1715.277034,133,2,Missing,Missing,2004,2004,DC
7601,592800,5/5/15,2,2,1715.277034,166,2,Missing,Missing,2002,0,DC
7603,1005000,1/22/15,2,2,1715.277034,896,2,Missing,Missing,1990,1990,DC
7605,415000,10/27/14,1,1,1715.277034,106,2,Missing,Missing,2006,2006,DC
7606,435000,5/19/14,1,1,1715.277034,261,2,Missing,Missing,1949,0,DC
7607,385000,3/9/15,1,1,1715.277034,231,2,Missing,Missing,1949,0,DC
7608,365000,2/11/15,1,1,1715.277034,231,2,Missing,Missing,1949,0,DC
7609,355000,4/27/15,1,1,1715.277034,231,2,Missing,Missing,1949,0,DC
7610,460000,10/28/14,1,1,1715.277034,261,2,Missing,Missing,1949,0,DC
7611,390000,5/7/14,1,1,1715.277034,231,2,Missing,Missing,1949,0,DC
7612,268000,4/21/15,1,1,1715.277034,212,2,Missing,Missing,1910,1988,DC
7613,331000,8/4/14,1,1,1715.277034,235,2,Missing,Missing,1918,1979,DC
7614,277500,6/24/14,1,1,1715.277034,559,2,Missing,Missing,1964,2008,DC
7615,319000,3/31/15,1,1,1715.277034,689,2,Missing,Missing,1931,2008,DC
7616,799000,12/11/14,2.5,3,1715.277034,1071,2,Missing,Missing,1912,2003,DC
7617,567500,5/1/14,2,2,1715.277034,952,2,Missing,Missing,1922,2014,DC
7618,725000,2/25/15,2.5,2,1715.277034,1195,2,Missing,Missing,1917,2015,DC
7619,825000,2/24/15,2.5,2,1715.277034,1195,2,Missing,Missing,1917,2015,DC
7620,560000,4/20/15,2,2,1715.277034,1286,2,Missing,Missing,1906,2015,DC
7621,599000,3/16/15,2,2,1715.277034,1146,2,Missing,Missing,1906,2015,DC
7622,637000,3/19/15,2,2,1715.277034,1146,2,Missing,Missing,1906,2015,DC
7623,690000,3/19/15,2,2,1715.277034,1224,2,Missing,Missing,1906,2015,DC
7624,312000,3/11/15,1,1,1715.277034,481,2,Missing,Missing,1900,0,DC
7625,435000,11/14/14,2,2,1715.277034,347,2,Missing,Missing,1910,2003,DC
7626,505500,12/4/14,2,2,1715.277034,460,2,Missing,Missing,1918,2001,DC
7627,595000,7/7/14,2,2,1715.277034,1130,2,Missing,Missing,1900,2004,DC
7628,632000,7/1/14,2,2,1715.277034,1272,2,Missing,Missing,1900,2004,DC
7629,399000,9/16/14,1,2,1715.277034,462,2,Missing,Missing,1925,2005,DC
7630,575000,5/12/15,1.5,2,1715.277034,746,2,Missing,Missing,1925,2005,DC
7631,705000,11/13/14,2.5,3,1715.277034,867,2,Missing,Missing,1910,2005,DC
7632,639900,5/14/14,3,2,1715.277034,836,2,Missing,Missing,1910,2005,DC
7633,455000,1/30/15,1,3,1715.277034,480,2,Missing,Missing,1920,2007,DC
7634,275000,8/4/14,1,1,1715.277034,281,2,Missing,Missing,1920,2008,DC
7635,525900,5/4/15,2,2,1715.277034,436,2,Missing,Missing,2014,0,DC
7636,299900,12/3/14,1,1,1715.277034,313,2,Missing,Missing,2014,0,DC
7638,339000,4/20/15,1,1,1715.277034,243,2,Missing,Missing,1929,1993,DC
7639,305000,10/23/14,1,1,1715.277034,281,2,Missing,Missing,1925,0,DC
7640,289410,8/4/14,1,1,1715.277034,323,2,Missing,Missing,1925,0,DC
7641,357000,5/21/14,1,2,1715.277034,303,2,Missing,Missing,1926,1980,DC
7642,459000,9/29/14,1,2,1715.277034,342,2,Missing,Missing,1926,1980,DC
7643,415000,7/8/14,1,2,1715.277034,301,2,Missing,Missing,1926,2005,DC
7644,459555,9/22/14,1,2,1715.277034,342,2,Missing,Missing,1926,1980,DC
7645,433000,9/4/14,1,2,1715.277034,301,2,Missing,Missing,1926,1980,DC
7646,500000,2/10/15,2,2,1715.277034,546,2,Missing,Missing,1918,1980,DC
7647,690000,5/22/15,2,2,1715.277034,678,2,Missing,Missing,2005,2005,DC
7648,590000,11/21/14,2,2,1715.277034,574,2,Missing,Missing,2005,2005,DC
7649,515000,5/29/15,1.5,1,1715.277034,375,2,Missing,Missing,2005,2005,DC
7650,700000,5/27/14,2,2,1715.277034,619,2,Missing,Missing,2005,2005,DC
7651,249900,10/3/14,1,1,1715.277034,512,2,Missing,Missing,1966,2005,DC
7652,377815,12/30/14,1,2,1715.277034,658,2,Missing,Missing,1966,2005,DC
7653,346000,4/24/15,1,1,1715.277034,1013,2,Missing,Missing,1918,2005,DC
7655,560000,6/12/14,2,2,1715.277034,551,2,Missing,Missing,2005,0,DC
7656,512500,4/28/15,1,1,1715.277034,449,2,Missing,Missing,2005,0,DC
7657,539000,12/17/14,2,2,1715.277034,560,2,Missing,Missing,1910,2006,DC
7658,611000,5/12/14,2,2,1715.277034,582,2,Missing,Missing,1907,2008,DC
7659,599000,9/17/14,2,2,1715.277034,569,2,Missing,Missing,2009,0,DC
7660,450000,4/17/15,1,1,1715.277034,235,2,Missing,Missing,2000,2000,DC
7661,549000,7/9/14,2,2,1715.277034,423,2,Missing,Missing,2000,2000,DC
7662,565000,7/25/14,2,2,1715.277034,192,2,Missing,Missing,2004,2004,DC
7664,436000,5/23/14,1,1,1715.277034,148,2,Missing,Missing,2004,2004,DC
7665,1015000,7/22/14,3,3,1715.277034,352,2,Missing,Missing,2004,2004,DC
7666,825000,3/3/15,2,2,1715.277034,204,2,Missing,Missing,2002,0,DC
7667,334000,9/5/14,1,1,1715.277034,229,2,Missing,Missing,1926,1984,DC
7668,239500,12/18/14,1,2,1715.277034,354,2,Missing,Missing,1922,2005,DC
7669,375000,12/3/14,1,1,1715.277034,198,2,Missing,Missing,2004,0,DC
7670,419000,8/22/14,1,1,1715.277034,313,2,Missing,Missing,2007,0,DC
7671,437800,6/20/14,1.5,1,1715.277034,380,2,Missing,Missing,2007,0,DC
7672,874900,9/3/14,2.5,2,1715.277034,874,2,Missing,Missing,2008,0,DC
7673,1100000,6/4/14,3,2,1715.277034,1035,2,Missing,Missing,2008,0,DC
7674,610000,3/4/15,2,2,1715.277034,649,2,Missing,Missing,1913,2010,DC
7675,624900,3/16/15,2,2,1715.277034,445,2,Missing,Missing,2014,0,DC
7676,894900,5/18/15,2,3,1715.277034,676,2,Missing,Missing,2014,0,DC
7677,746900,10/31/14,2,2,1715.277034,526,2,Missing,Missing,1910,2013,DC
7678,407000,10/10/14,1.5,2,1715.277034,604,2,Missing,Missing,1910,0,DC
7679,465000,1/29/15,1.5,2,1715.277034,604,2,Missing,Missing,1910,1980,DC
7680,446000,6/27/14,1,2,1715.277034,523,2,Missing,Missing,1909,2004,DC
7681,210000,12/22/14,1,1,1715.277034,384,2,Missing,Missing,1910,1980,DC
7682,484900,5/1/15,1,2,1715.277034,284,2,Missing,Missing,1921,2013,DC
7683,306500,3/17/15,1,1,1715.277034,251,2,Missing,Missing,1934,1979,DC
7684,440000,10/2/14,2,2,1715.277034,236,2,Missing,Missing,1956,0,DC
7685,500000,7/9/14,2,2,1715.277034,271,2,Missing,Missing,1956,0,DC
7687,343000,7/31/14,1,1,1715.277034,272,2,Missing,Missing,1902,1981,DC
7688,255000,9/15/14,1,0,1715.277034,186,2,Missing,Missing,1929,1993,DC
7689,435000,8/15/14,2,3,1715.277034,463,2,Missing,Missing,1910,2000,DC
7690,358000,10/15/14,1,1,1715.277034,470,2,Missing,Missing,1910,2006,DC
7691,845000,3/3/15,3,2,1715.277034,809,2,Missing,Missing,1908,2015,DC
7692,339900,7/16/14,1,1,1715.277034,207,2,Missing,Missing,1910,1988,DC
7693,439500,5/4/15,1,1,1715.277034,285,2,Missing,Missing,1911,2009,DC
7694,610000,5/12/14,2.5,2,1715.277034,1145,2,Missing,Missing,1977,0,DC
7695,625000,9/9/14,2.5,2,1715.277034,1162,2,Missing,Missing,1977,0,DC
7696,715000,7/3/14,2.5,2,1715.277034,1101,2,Missing,Missing,1977,0,DC
7697,528000,5/7/15,1,2,1715.277034,339,2,Missing,Missing,1926,1982,DC
7698,320000,7/11/14,1,1,1715.277034,204,2,Missing,Missing,1926,1982,DC
7699,489500,10/16/14,2,2,1715.277034,2181,2,Missing,Missing,1930,1988,DC
7700,740000,8/18/14,2,2,1715.277034,737,2,Missing,Missing,1907,2014,DC
7702,303000,4/24/15,1,1,1715.277034,379,2,Missing,Missing,1922,2005,DC
7703,219500,9/9/14,1,0,1715.277034,282,2,Missing,Missing,1922,2005,DC
7704,462000,5/4/15,1,2,1715.277034,516,2,Missing,Missing,1922,2005,DC
7705,399999,7/9/14,1,1,1715.277034,135,2,Missing,Missing,2006,0,DC
7706,549900,4/24/15,1,1,1715.277034,196,2,Missing,Missing,2014,0,DC
7707,469000,4/24/15,1,1,1715.277034,172,2,Missing,Missing,2014,0,DC
7708,779400,5/18/15,2,2,1715.277034,253,2,Missing,Missing,2014,0,DC
7709,579900,5/1/15,1,1,1715.277034,198,2,Missing,Missing,2014,0,DC
7710,364900,4/30/15,1,1,1715.277034,123,2,Missing,Missing,2014,0,DC
7711,484900,4/30/15,1,1,1715.277034,181,2,Missing,Missing,2014,0,DC
7712,522400,4/24/15,1,1,1715.277034,196,2,Missing,Missing,2014,0,DC
7713,492900,4/30/15,1,1,1715.277034,172,2,Missing,Missing,2014,0,DC
7714,419900,5/12/15,1,1,1715.277034,141,2,Missing,Missing,2014,0,DC
7715,804900,5/11/15,2,2,1715.277034,267,2,Missing,Missing,2014,0,DC
7716,409900,4/29/15,1,1,1715.277034,139,2,Missing,Missing,2014,0,DC
7717,524900,4/24/15,1,1,1715.277034,172,2,Missing,Missing,2014,0,DC
7718,519900,5/21/15,1,1,1715.277034,196,2,Missing,Missing,2014,0,DC
7719,509900,5/21/15,1,1,1715.277034,181,2,Missing,Missing,2014,0,DC
7720,434900,4/30/15,1,1,1715.277034,141,2,Missing,Missing,2014,0,DC
7721,824900,5/11/15,2,2,1715.277034,253,2,Missing,Missing,2014,0,DC
7722,824900,4/27/15,2,2,1715.277034,267,2,Missing,Missing,2014,0,DC
7723,419900,5/5/15,1,1,1715.277034,139,2,Missing,Missing,2014,0,DC
7724,574900,5/1/15,1,1,1715.277034,196,2,Missing,Missing,2014,0,DC
7725,550000,6/11/14,2,2,1715.277034,523,2,Missing,Missing,1909,2004,DC
7726,515000,6/30/14,2,2,1715.277034,961,2,Missing,Missing,1895,2006,DC
7727,470000,6/23/14,1,2,1715.277034,606,2,Missing,Missing,1903,2009,DC
7728,265267,7/9/14,1,1,1715.277034,174,2,Missing,Missing,1920,2007,DC
7729,699000,7/2/14,2,2,1715.277034,272,2,Missing,Missing,1922,2013,DC
7730,699000,6/6/14,2,3,1715.277034,420,2,Missing,Missing,1922,2013,DC
7731,810000,6/10/14,2,2,1715.277034,764,2,Missing,Missing,1900,2002,DC
7732,730000,3/2/15,2,2,1715.277034,657,2,Missing,Missing,1900,2002,DC
7733,1280000,5/12/15,2,2,1715.277034,1029,2,Missing,Missing,2002,0,DC
7734,392500,5/8/15,2,1,1715.277034,256,2,Missing,Missing,1910,2006,DC
7735,524900,10/1/14,2,2,1715.277034,326,2,Missing,Missing,1910,2007,DC
7736,432000,5/29/14,2,2,1715.277034,357,2,Missing,Missing,1910,0,DC
7737,465000,11/25/14,1,1,1715.277034,313,2,Missing,Missing,1910,2008,DC
7738,415000,6/2/14,1,1,1715.277034,283,2,Missing,Missing,1910,2008,DC
7739,801000,5/7/15,2,3,1715.277034,543,2,Missing,Missing,1910,2008,DC
7740,342000,3/3/15,1,1,1715.277034,454,2,Missing,Missing,1922,2005,DC
7741,341000,9/22/14,1,1,1715.277034,403,2,Missing,Missing,1922,2005,DC
7742,275000,1/30/15,1,1,1715.277034,374,2,Missing,Missing,1922,2005,DC
7743,705000,5/13/15,2,2,1715.277034,548,2,Missing,Missing,1900,2012,DC
7744,1199000,10/23/14,3,3,1715.277034,822,2,Missing,Missing,1900,2012,DC
7745,642000,4/14/15,2,2,1715.277034,648,2,Missing,Missing,1906,2006,DC
7746,240000,6/18/14,1,0,1715.277034,222,2,Missing,Missing,1939,2004,DC
7747,106000,12/17/14,1,1,1715.277034,338,2,Missing,Missing,1910,2006,DC
7748,815000,11/24/14,2,2,1715.277034,651,2,Missing,Missing,1900,2006,DC
7750,340000,5/22/14,1,1,1715.277034,170,2,Missing,Missing,1911,1985,DC
7751,346900,12/31/14,1,1,1715.277034,159,2,Missing,Missing,1911,1985,DC
7752,437500,3/2/15,2,2,1715.277034,214,2,Missing,Missing,1911,1985,DC
7754,772000,7/28/14,2.5,3,1715.277034,1377,2,Missing,Missing,1977,0,DC
7755,675000,8/11/14,2.5,2,1715.277034,1145,2,Missing,Missing,1977,0,DC
7758,278000,6/20/14,1,1,1715.277034,268,2,Missing,Missing,1910,0,DC
7759,329800,7/23/14,1,1,1715.277034,315,2,Missing,Missing,1924,2010,DC
7760,655000,7/31/14,2.5,2,1715.277034,1113,2,Missing,Missing,2005,0,DC
7761,695000,5/26/15,2.5,2,1715.277034,1113,2,Missing,Missing,2005,0,DC
7762,650000,2/4/15,2.5,2,1715.277034,1113,2,Missing,Missing,2005,0,DC
7763,609000,5/12/14,2.5,2,1715.277034,1113,2,Missing,Missing,2005,0,DC
7764,429000,10/15/14,2,2,1715.277034,453,2,Missing,Missing,1900,2005,DC
7765,538500,9/8/14,1,2,1715.277034,403,2,Missing,Missing,1910,2004,DC
7766,620000,5/15/14,1.5,3,1715.277034,489,2,Missing,Missing,1910,2004,DC
7767,756000,2/23/15,2,2,1715.277034,641,2,Missing,Missing,2012,2012,DC
7768,216000,9/26/14,2,2,1715.277034,535,2,Missing,Missing,1925,2007,DC
7769,530500,10/27/14,2,2,1715.277034,997,2,Missing,Missing,1925,1984,DC
7770,625000,4/21/15,2,2,1715.277034,1186,2,Missing,Missing,1925,1984,DC
7773,688600,5/1/14,2.5,2,1715.277034,1101,2,Missing,Missing,1977,0,DC
7774,801658,11/14/14,2.5,3,1715.277034,1377,2,Missing,Missing,1977,0,DC
